B3771_G4_QHGD_00266	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3759_G4_QHGD_00975	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3891_G4_QHGD_00972	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3766_G4_QHGD_00972	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3927_G4_QHGD_00977	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3773_G4_QHGD_00999	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3758_G4_QHGD_00999	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3976_G4_QHGD_00544	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3722_G4_QHGD_00999	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3892_G4_QHGD_01000	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3770_G4_QHGD_00439	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B2923_G4_SCGB_00693	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3172_G4_JLDH_01058	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3127_G2_JLDH_02142	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G2
B2881_G1_SCXHG_01183	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G1
B2894_G1_SCXHG_01158	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G1
B2828_G1_SCXHG_01345	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G1
B2840_G1_SCGB_01210	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G1
B3000_G1_SCGB_00538	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G1
B2887_G1_SCXHG_01397	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G1
B2737_G1_SCGB_00547	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G1
B2776_G1_SCGB_00234	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G1
B2781_G1_SCGB_01430	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G1
B2779_G1_SCGB_01531	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G1
H1B0085_G1_SCGB_01018	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G1
B3724_G4_QHGD_01466	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3771_G4_QHGD_01424	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3759_G4_QHGD_01512	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3891_G4_QHGD_01449	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3766_G4_QHGD_01449	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3927_G4_QHGD_01594	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3773_G4_QHGD_01466	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3758_G4_QHGD_01466	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3976_G4_QHGD_02073	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3722_G4_QHGD_01406	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3892_G4_QHGD_01467	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3770_G4_QHGD_00824	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B2923_G4_SCGB_01181	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3172_G4_JLDH_01824	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G4
B3127_G2_JLDH_00299	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G2
B2623_G2_JLDH_01701	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G2
B3367_G2_JLDH_01645	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G2
B2865_G2_SCXHG_01140	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G2
B2785_G2_SCXHG_01912	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G2
B3372_G2_JLDH_01423	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G2
B2911_G2_SCGB_00909	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G2
B2772_G2_SCWL_01966	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G2
B2849_G2_SCGB_01586	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G2
B2864_G2_SCGB_01676	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G2
B3562_G2_SCGB_01584	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G2
B3023_G2_SCGB_00106	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Orbales; f__Orbaceae; g__Gilliamella; s__Gilliamella_Acre_G2
